"protein_name","CellType","enriched"
"enpep","Hepatocyte_5","Hepatocyte-enriched"
"ank2","Hepatocyte_5","Hepatocyte-enriched"
"pde5a","Cholangiocytes","Cholangiocyte-enriched"
"anxa5","Non-inflammatory_Macrophage","Immune-enriched"
"il2","alpha-beta_T_Cells","Immune-enriched"
"fgf2","Periportal_LSECs","EC-enriched"
"clgn","Hepatocyte_5","Hepatocyte-enriched"
"il15","Non-inflammatory_Macrophage","Immune-enriched"
"smad1","Portal_endothelial_Cells","EC-enriched"
"arfip1","Non-inflammatory_Macrophage","Immune-enriched"
"tlr2","Non-inflammatory_Macrophage","Immune-enriched"
"fga","Hepatocyte_3","Hepatocyte-enriched"
"tdo2","Hepatocyte_6","Hepatocyte-enriched"
"ctso","Hepatocyte_5","Hepatocyte-enriched"
"pdgfc","Non-inflammatory_Macrophage","Immune-enriched"
"rapgef2","Erythroid_Cells","Immune-enriched"
"cpe","Periportal_LSECs","EC-enriched"
"anxa10","Hepatocyte_6","Hepatocyte-enriched"
"palld","Hepatic_Stellate_Cells","Stellate cells-enriched"
"mfap3l","Hepatocyte_2","Hepatocyte-enriched"
"galnt7","Non-inflammatory_Macrophage","Immune-enriched"
"scrg1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"vegfc","Periportal_LSECs","EC-enriched"
"dctd","Hepatocyte_5","Hepatocyte-enriched"
"enpp6","Non-inflammatory_Macrophage","Immune-enriched"
"casp3","Erythroid_Cells","Immune-enriched"
"acsl1","Hepatocyte_3","Hepatocyte-enriched"
"lrp2bp","Plasma_Cells","Immune-enriched"
"tlr3","Hepatocyte_1","Hepatocyte-enriched"
"klkb1","Hepatocyte_4","Hepatocyte-enriched"
"f11","Hepatocyte_4","Hepatocyte-enriched"
"pdcd6","Hepatocyte_6","Hepatocyte-enriched"
"ndufs6","Hepatocyte_6","Hepatocyte-enriched"
"cct5","Plasma_Cells","Immune-enriched"
"cdh6","Cholangiocytes","Cholangiocyte-enriched"
"pdzd2","Portal_endothelial_Cells","EC-enriched"
"dnajc21","Hepatocyte_1","Hepatocyte-enriched"
"il7r","alpha-beta_T_Cells","Immune-enriched"
"gdnf","Portal_endothelial_Cells","EC-enriched"
"egflam","Central_venous_LSECs","EC-enriched"
"lifr","Portal_endothelial_Cells","EC-enriched"
"osmr","Central_venous_LSECs","EC-enriched"
"rictor","Erythroid_Cells","Immune-enriched"
"c9","Hepatocyte_5","Hepatocyte-enriched"
"dab2","Central_venous_LSECs","EC-enriched"
"c7","Portal_endothelial_Cells","EC-enriched"
"oxct1","gamma-delta_T_Cells_2","Immune-enriched"
"ghr","Hepatocyte_2","Hepatocyte-enriched"
"hmgcs1","Hepatocyte_3","Hepatocyte-enriched"
"ccl28","Cholangiocytes","Cholangiocyte-enriched"
"itga2","Cholangiocytes","Cholangiocyte-enriched"
"mocs2","Hepatocyte_6","Hepatocyte-enriched"
"fst","Hepatocyte_2","Hepatocyte-enriched"
"snx18","Non-inflammatory_Macrophage","Immune-enriched"
"esm1","alpha-beta_T_Cells","Immune-enriched"
"gzma","gamma-delta_T_Cells_1","Immune-enriched"
"il6st","Central_venous_LSECs","EC-enriched"
"pde4d","gamma-delta_T_Cells_1","Immune-enriched"
"ocln","Hepatocyte_4","Hepatocyte-enriched"
"tnpo1","Central_venous_LSECs","EC-enriched"
"ankra2","Hepatocyte_6","Hepatocyte-enriched"
"iqgap2","Hepatocyte_1","Hepatocyte-enriched"
"f2r","Central_venous_LSECs","EC-enriched"
"crhbp","Central_venous_LSECs","EC-enriched"
"tbca","Hepatocyte_6","Hepatocyte-enriched"
"ap3b1","Mature_B_Cells","Immune-enriched"
"arsb","Non-inflammatory_Macrophage","Immune-enriched"
"bhmt2","Hepatocyte_4","Hepatocyte-enriched"
"thbs4","Portal_endothelial_Cells","EC-enriched"
"xrcc4","Inflammatory_Macrophage","Immune-enriched"
"vcan","Inflammatory_Macrophage","Immune-enriched"
"edil3","Hepatic_Stellate_Cells","Stellate cells-enriched"
"rasa1","NK-like_Cells","Immune-enriched"
"cetn3","Erythroid_Cells","Immune-enriched"
"lysmd3","Hepatocyte_2","Hepatocyte-enriched"
"adgrv1","Hepatocyte_6","Hepatocyte-enriched"
"fam172a","gamma-delta_T_Cells_1","Immune-enriched"
"glrx","Hepatocyte_6","Hepatocyte-enriched"
"rgmb","Hepatocyte_5","Hepatocyte-enriched"
"pam","Periportal_LSECs","EC-enriched"
"tslp","Hepatocyte_6","Hepatocyte-enriched"
"tnfaip8","Mature_B_Cells","Immune-enriched"
"snx2","Non-inflammatory_Macrophage","Immune-enriched"
"lmnb1","gamma-delta_T_Cells_2","Immune-enriched"
"megf10","gamma-delta_T_Cells_1","Immune-enriched"
"slc12a2","Cholangiocytes","Cholangiocyte-enriched"
"fbn2","Inflammatory_Macrophage","Immune-enriched"
"csf2","NK-like_Cells","Immune-enriched"
"il13","Portal_endothelial_Cells","EC-enriched"
"sowaha","Cholangiocytes","Cholangiocyte-enriched"
"ube2b","Erythroid_Cells","Immune-enriched"
"camlg","Hepatocyte_6","Hepatocyte-enriched"
"txndc15","Plasma_Cells","Immune-enriched"
"cxcl14","Hepatic_Stellate_Cells","Stellate cells-enriched"
"lect2","Hepatocyte_6","Hepatocyte-enriched"
"tgfbi","Non-inflammatory_Macrophage","Immune-enriched"
"smad5","Portal_endothelial_Cells","EC-enriched"
"spock1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"ctnna1","Non-inflammatory_Macrophage","Immune-enriched"
"sil1","Hepatocyte_5","Hepatocyte-enriched"
"mzb1","Plasma_Cells","Immune-enriched"
"hbegf","Inflammatory_Macrophage","Immune-enriched"
"cd14","Inflammatory_Macrophage","Immune-enriched"
"pcdhb15","Periportal_LSECs","EC-enriched"
"pcdh1","Hepatocyte_4","Hepatocyte-enriched"
"pcdh12","Central_venous_LSECs","EC-enriched"
"gnpda1","Non-inflammatory_Macrophage","Immune-enriched"
"spink1","Hepatocyte_3","Hepatocyte-enriched"
"spink5","Cholangiocytes","Cholangiocyte-enriched"
"spink6","Inflammatory_Macrophage","Immune-enriched"
"csf1r","Non-inflammatory_Macrophage","Immune-enriched"
"pdgfrb","Hepatic_Stellate_Cells","Stellate cells-enriched"
"tcof1","Mature_B_Cells","Immune-enriched"
"cd74","Mature_B_Cells","Immune-enriched"
"ndst1","Hepatocyte_5","Hepatocyte-enriched"
"tnip1","Hepatocyte_5","Hepatocyte-enriched"
"gm2a","Non-inflammatory_Macrophage","Immune-enriched"
"sparc","Hepatic_Stellate_Cells","Stellate cells-enriched"
"atox1","Hepatocyte_6","Hepatocyte-enriched"
"mfap3","Erythroid_Cells","Immune-enriched"
"galnt10","Erythroid_Cells","Immune-enriched"
"larp1","Erythroid_Cells","Immune-enriched"
"timd4","Non-inflammatory_Macrophage","Immune-enriched"
"havcr1","Hepatocyte_5","Hepatocyte-enriched"
"havcr2","Non-inflammatory_Macrophage","Immune-enriched"
"clint1","Plasma_Cells","Immune-enriched"
"pttg1","Erythroid_Cells","Immune-enriched"
"hmmr","gamma-delta_T_Cells_2","Immune-enriched"
"npm1","Plasma_Cells","Immune-enriched"
"stc2","Hepatic_Stellate_Cells","Stellate cells-enriched"
"cdhr2","Hepatocyte_3","Hepatocyte-enriched"
"fgfr4","Cholangiocytes","Cholangiocyte-enriched"
"f12","Hepatocyte_4","Hepatocyte-enriched"
"dbn1","Periportal_LSECs","EC-enriched"
"pdlim7","Hepatic_Stellate_Cells","Stellate cells-enriched"
"phykpl","NK-like_Cells","Immune-enriched"
"mapk9","Non-inflammatory_Macrophage","Immune-enriched"
"scgb3a1","Cholangiocytes","Cholangiocyte-enriched"
"flt4","Central_venous_LSECs","EC-enriched"
"serpinb1","Inflammatory_Macrophage","Immune-enriched"
"serpinb9","Inflammatory_Macrophage","Immune-enriched"
"serpinb6","Non-inflammatory_Macrophage","Immune-enriched"
"psmg4","Hepatocyte_1","Hepatocyte-enriched"
"eci2","Hepatocyte_6","Hepatocyte-enriched"
"nrn1","Periportal_LSECs","EC-enriched"
"bmp6","Central_venous_LSECs","EC-enriched"
"txndc5","Plasma_Cells","Immune-enriched"
"nedd9","Periportal_LSECs","EC-enriched"
"edn1","Portal_endothelial_Cells","EC-enriched"
"sirt5","Hepatocyte_1","Hepatocyte-enriched"
"cd83","Mature_B_Cells","Immune-enriched"
"gmpr","Erythroid_Cells","Immune-enriched"
"tpmt","Hepatocyte_6","Hepatocyte-enriched"
"id4","Hepatic_Stellate_Cells","Stellate cells-enriched"
"aldh5a1","Hepatocyte_2","Hepatocyte-enriched"
"acot13","Hepatocyte_6","Hepatocyte-enriched"
"scgn","Cholangiocytes","Cholangiocyte-enriched"
"btn3a2","gamma-delta_T_Cells_1","Immune-enriched"
"btn2a1","gamma-delta_T_Cells_1","Immune-enriched"
"btn1a1","Plasma_Cells","Immune-enriched"
"mog","Mature_B_Cells","Immune-enriched"
"trim26","Hepatocyte_4","Hepatocyte-enriched"
"ddr1","Cholangiocytes","Cholangiocyte-enriched"
"atp6v1g2","alpha-beta_T_Cells","Immune-enriched"
"lta","gamma-delta_T_Cells_2","Immune-enriched"
"tnf","alpha-beta_T_Cells","Immune-enriched"
"ltb","Mature_B_Cells","Immune-enriched"
"aif1","Non-inflammatory_Macrophage","Immune-enriched"
"bag6","Erythroid_Cells","Immune-enriched"
"apom","Hepatocyte_1","Hepatocyte-enriched"
"hspa1a","Non-inflammatory_Macrophage","Immune-enriched"
"slc44a4","Cholangiocytes","Cholangiocyte-enriched"
"c2","Hepatocyte_3","Hepatocyte-enriched"
"cfb","Hepatocyte_5","Hepatocyte-enriched"
"skiv2l","Hepatocyte_4","Hepatocyte-enriched"
"dxo","gamma-delta_T_Cells_2","Immune-enriched"
"tnxb","Erythroid_Cells","Immune-enriched"
"fkbpl","Erythroid_Cells","Immune-enriched"
"rnf5","Erythroid_Cells","Immune-enriched"
"ager","gamma-delta_T_Cells_1","Immune-enriched"
"tap1","gamma-delta_T_Cells_2","Immune-enriched"
"brd2","NK-like_Cells","Immune-enriched"
"wdr46","Hepatocyte_4","Hepatocyte-enriched"
"pfdn6","Hepatocyte_6","Hepatocyte-enriched"
"rgl2","Central_venous_LSECs","EC-enriched"
"syngap1","gamma-delta_T_Cells_1","Immune-enriched"
"rps10","Mature_B_Cells","Immune-enriched"
"fkbp5","Non-inflammatory_Macrophage","Immune-enriched"
"mapk13","NK-like_Cells","Immune-enriched"
"cdkn1a","Periportal_LSECs","EC-enriched"
"pi16","Hepatic_Stellate_Cells","Stellate cells-enriched"
"mdga1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"glo1","Central_venous_LSECs","EC-enriched"
"nfya","Erythroid_Cells","Immune-enriched"
"treml1","Periportal_LSECs","EC-enriched"
"trem2","Inflammatory_Macrophage","Immune-enriched"
"treml2","Mature_B_Cells","Immune-enriched"
"tbcc","NK-like_Cells","Immune-enriched"
"ptk7","Cholangiocytes","Cholangiocyte-enriched"
"dnph1","Hepatocyte_6","Hepatocyte-enriched"
"tjap1","Hepatocyte_4","Hepatocyte-enriched"
"gtpbp2","Erythroid_Cells","Immune-enriched"
"vegfa","Hepatocyte_5","Hepatocyte-enriched"
"nfkbie","Non-inflammatory_Macrophage","Immune-enriched"
"clic5","alpha-beta_T_Cells","Immune-enriched"
"enpp5","gamma-delta_T_Cells_1","Immune-enriched"
"pla2g7","Non-inflammatory_Macrophage","Immune-enriched"
"adgrf5","Central_venous_LSECs","EC-enriched"
"tnfrsf21","Non-inflammatory_Macrophage","Immune-enriched"
"cd2ap","Erythroid_Cells","Immune-enriched"
"crisp3","Cholangiocytes","Cholangiocyte-enriched"
"il17a","gamma-delta_T_Cells_2","Immune-enriched"
"gsta1","Hepatocyte_6","Hepatocyte-enriched"
"gsta3","Hepatocyte_1","Hepatocyte-enriched"
"adgrb3","Periportal_LSECs","EC-enriched"
"cd109","Portal_endothelial_Cells","EC-enriched"
"myo6","Hepatic_Stellate_Cells","Stellate cells-enriched"
"sh3bgrl2","Hepatocyte_2","Hepatocyte-enriched"
"nt5e","Central_venous_LSECs","EC-enriched"
"rtn4ip1","Hepatocyte_6","Hepatocyte-enriched"
"foxo3","Erythroid_Cells","Immune-enriched"
"cd164","Non-inflammatory_Macrophage","Immune-enriched"
"wasf1","Hepatocyte_6","Hepatocyte-enriched"
"traf3ip2","Hepatocyte_6","Hepatocyte-enriched"
"lama4","Hepatocyte_6","Hepatocyte-enriched"
"tspyl1","Erythroid_Cells","Immune-enriched"
"rwdd1","Hepatocyte_6","Hepatocyte-enriched"
"gopc","Hepatocyte_1","Hepatocyte-enriched"
"smpdl3a","Non-inflammatory_Macrophage","Immune-enriched"
"hddc2","gamma-delta_T_Cells_1","Immune-enriched"
"rspo3","Portal_endothelial_Cells","EC-enriched"
"ptprk","Cholangiocytes","Cholangiocyte-enriched"
"arg1","Hepatocyte_6","Hepatocyte-enriched"
"stx7","Mature_B_Cells","Immune-enriched"
"vnn1","Hepatocyte_2","Hepatocyte-enriched"
"vnn2","Inflammatory_Macrophage","Immune-enriched"
"map3k5","Inflammatory_Macrophage","Immune-enriched"
"il20ra","Cholangiocytes","Cholangiocyte-enriched"
"ifngr1","Non-inflammatory_Macrophage","Immune-enriched"
"ccdc28a","Erythroid_Cells","Immune-enriched"
"reps1","Hepatocyte_2","Hepatocyte-enriched"
"vta1","Erythroid_Cells","Immune-enriched"
"phactr2","Central_venous_LSECs","EC-enriched"
"tab2","Hepatocyte_2","Hepatocyte-enriched"
"lats1","Erythroid_Cells","Immune-enriched"
"lrp11","Portal_endothelial_Cells","EC-enriched"
"ulbp2","Portal_endothelial_Cells","EC-enriched"
"akap12","Central_venous_LSECs","EC-enriched"
"esr1","Hepatocyte_2","Hepatocyte-enriched"
"ipcef1","NK-like_Cells","Immune-enriched"
"snx9","Non-inflammatory_Macrophage","Immune-enriched"
"dynlt1","Hepatocyte_6","Hepatocyte-enriched"
"ezr","Plasma_Cells","Immune-enriched"
"fndc1","Central_venous_LSECs","EC-enriched"
"sod2","Hepatocyte_5","Hepatocyte-enriched"
"igf2r","Hepatocyte_5","Hepatocyte-enriched"
"lpa","Hepatocyte_5","Hepatocyte-enriched"
"plg","Hepatocyte_4","Hepatocyte-enriched"
"rnaset2","Non-inflammatory_Macrophage","Immune-enriched"
"smoc2","Hepatic_Stellate_Cells","Stellate cells-enriched"
"thbs2","Hepatic_Stellate_Cells","Stellate cells-enriched"
"dll1","Portal_endothelial_Cells","EC-enriched"
"pdgfa","Hepatic_Stellate_Cells","Stellate cells-enriched"
"micall2","Portal_endothelial_Cells","EC-enriched"
"psmg3","Erythroid_Cells","Immune-enriched"
"mad1l1","gamma-delta_T_Cells_1","Immune-enriched"
"cyth3","Periportal_LSECs","EC-enriched"
"col28a1","Periportal_LSECs","EC-enriched"
"ica1","Central_venous_LSECs","EC-enriched"
"scin","Mature_B_Cells","Immune-enriched"
"ankmy2","Non-inflammatory_Macrophage","Immune-enriched"
"agr2","Cholangiocytes","Cholangiocyte-enriched"
"agr3","Cholangiocytes","Cholangiocyte-enriched"
"hdac9","Mature_B_Cells","Immune-enriched"
"il6","Mature_B_Cells","Immune-enriched"
"gpnmb","Non-inflammatory_Macrophage","Immune-enriched"
"igf2bp3","Periportal_LSECs","EC-enriched"
"skap2","Inflammatory_Macrophage","Immune-enriched"
"tax1bp1","Erythroid_Cells","Immune-enriched"
"cpvl","Non-inflammatory_Macrophage","Immune-enriched"
"scrn1","Mature_B_Cells","Immune-enriched"
"fkbp14","Plasma_Cells","Immune-enriched"
"ggct","Hepatocyte_6","Hepatocyte-enriched"
"ghrhr","Hepatocyte_5","Hepatocyte-enriched"
"pde1c","NK-like_Cells","Immune-enriched"
"nt5c3a","Erythroid_Cells","Immune-enriched"
"bmper","Periportal_LSECs","EC-enriched"
"sfrp4","Hepatic_Stellate_Cells","Stellate cells-enriched"
"dbnl","Inflammatory_Macrophage","Immune-enriched"
"tmed4","Plasma_Cells","Immune-enriched"
"igfbp1","Hepatocyte_4","Hepatocyte-enriched"
"igfbp3","Hepatic_Stellate_Cells","Stellate cells-enriched"
"ddc","Hepatocyte_2","Hepatocyte-enriched"
"egfr","Hepatocyte_3","Hepatocyte-enriched"
"sumf2","Hepatocyte_5","Hepatocyte-enriched"
"gusb","Hepatocyte_4","Hepatocyte-enriched"
"bcl7b","gamma-delta_T_Cells_2","Immune-enriched"
"eln","Hepatic_Stellate_Cells","Stellate cells-enriched"
"lat2","NK-like_Cells","Immune-enriched"
"clip2","Periportal_LSECs","EC-enriched"
"gtf2ird1","Cholangiocytes","Cholangiocyte-enriched"
"hip1","Periportal_LSECs","EC-enriched"
"ccl26","Hepatic_Stellate_Cells","Stellate cells-enriched"
"hspb1","Periportal_LSECs","EC-enriched"
"ssc4d","Hepatocyte_3","Hepatocyte-enriched"
"zp3","Plasma_Cells","Immune-enriched"
"dtx2","Hepatic_Stellate_Cells","Stellate cells-enriched"
"gsap","gamma-delta_T_Cells_1","Immune-enriched"
"cd36","Central_venous_LSECs","EC-enriched"
"hgf","Hepatic_Stellate_Cells","Stellate cells-enriched"
"adam22","gamma-delta_T_Cells_2","Immune-enriched"
"steap4","Hepatic_Stellate_Cells","Stellate cells-enriched"
"samd9l","gamma-delta_T_Cells_1","Immune-enriched"
"hepacam2","Erythroid_Cells","Immune-enriched"
"tfpi2","Central_venous_LSECs","EC-enriched"
"pon1","Hepatocyte_6","Hepatocyte-enriched"
"pon3","Hepatocyte_1","Hepatocyte-enriched"
"pon2","Hepatocyte_5","Hepatocyte-enriched"
"nptx2","Cholangiocytes","Cholangiocyte-enriched"
"pdap1","Erythroid_Cells","Immune-enriched"
"cnpy4","Erythroid_Cells","Immune-enriched"
"pilrb","Hepatocyte_4","Hepatocyte-enriched"
"pilra","Inflammatory_Macrophage","Immune-enriched"
"lrch4","Mature_B_Cells","Immune-enriched"
"pcolce","Hepatic_Stellate_Cells","Stellate cells-enriched"
"epo","Hepatocyte_3","Hepatocyte-enriched"
"ephb4","Portal_endothelial_Cells","EC-enriched"
"ache","Erythroid_Cells","Immune-enriched"
"serpine1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"fis1","Erythroid_Cells","Immune-enriched"
"srpk2","gamma-delta_T_Cells_1","Immune-enriched"
"nampt","Hepatocyte_3","Hepatocyte-enriched"
"lamb1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"nrcam","Cholangiocytes","Cholangiocyte-enriched"
"met","Hepatocyte_2","Hepatocyte-enriched"
"lsm8","gamma-delta_T_Cells_2","Immune-enriched"
"fam3c","Plasma_Cells","Immune-enriched"
"ndufa5","Hepatocyte_6","Hepatocyte-enriched"
"wasl","Central_venous_LSECs","EC-enriched"
"gpr37","Hepatocyte_4","Hepatocyte-enriched"
"gcc1","Hepatocyte_6","Hepatocyte-enriched"
"atp6v1f","Inflammatory_Macrophage","Immune-enriched"
"cpa4","Central_venous_LSECs","EC-enriched"
"podxl","Periportal_LSECs","EC-enriched"
"plxna4","Portal_endothelial_Cells","EC-enriched"
"akr1b1","Non-inflammatory_Macrophage","Immune-enriched"
"akr1b10","Hepatocyte_6","Hepatocyte-enriched"
"mtpn","Non-inflammatory_Macrophage","Immune-enriched"
"ptn","Hepatic_Stellate_Cells","Stellate cells-enriched"
"trim24","Hepatocyte_2","Hepatocyte-enriched"
"kiaa1549","Hepatic_Stellate_Cells","Stellate cells-enriched"
"ssbp1","Hepatocyte_6","Hepatocyte-enriched"
"clec5a","Inflammatory_Macrophage","Immune-enriched"
"ephb6","Cholangiocytes","Cholangiocyte-enriched"
"kel","Erythroid_Cells","Immune-enriched"
"casp2","gamma-delta_T_Cells_2","Immune-enriched"
"epha1","Hepatocyte_3","Hepatocyte-enriched"
"arhgef5","Hepatocyte_4","Hepatocyte-enriched"
"tpk1","Non-inflammatory_Macrophage","Immune-enriched"
"cntnap2","Hepatocyte_1","Hepatocyte-enriched"
"pdia4","Hepatocyte_4","Hepatocyte-enriched"
"rarres2","Hepatocyte_3","Hepatocyte-enriched"
"gimap8","Central_venous_LSECs","EC-enriched"
"gimap7","gamma-delta_T_Cells_1","Immune-enriched"
"kcnh2","Erythroid_Cells","Immune-enriched"
"nos3","Portal_endothelial_Cells","EC-enriched"
"nub1","Portal_endothelial_Cells","EC-enriched"
"shh","Hepatocyte_2","Hepatocyte-enriched"
"dnajb6","Erythroid_Cells","Immune-enriched"
"ptprn2","Central_venous_LSECs","EC-enriched"
"esyt2","Portal_endothelial_Cells","EC-enriched"
"csf2ra","Inflammatory_Macrophage","Immune-enriched"
"il3ra","Periportal_LSECs","EC-enriched"
"cd99","gamma-delta_T_Cells_1","Immune-enriched"
"tbl1x","Hepatocyte_2","Hepatocyte-enriched"
"ofd1","NK-like_Cells","Immune-enriched"
"ace2","Cholangiocytes","Cholangiocyte-enriched"
"syap1","Hepatocyte_6","Hepatocyte-enriched"
"cdkl5","Non-inflammatory_Macrophage","Immune-enriched"
"adgrg2","Hepatic_Stellate_Cells","Stellate cells-enriched"
"eif1ax","Hepatocyte_2","Hepatocyte-enriched"
"sms","Non-inflammatory_Macrophage","Immune-enriched"
"sat1","Non-inflammatory_Macrophage","Immune-enriched"
"dmd","Hepatic_Stellate_Cells","Stellate cells-enriched"
"dynlt3","alpha-beta_T_Cells","Immune-enriched"
"srpx","Portal_endothelial_Cells","EC-enriched"
"rpgr","Portal_endothelial_Cells","EC-enriched"
"tspan7","Central_venous_LSECs","EC-enriched"
"atp6ap2","Non-inflammatory_Macrophage","Immune-enriched"
"rp2","Inflammatory_Macrophage","Immune-enriched"
"araf","Hepatocyte_3","Hepatocyte-enriched"
"timp1","Central_venous_LSECs","EC-enriched"
"cfp","Non-inflammatory_Macrophage","Immune-enriched"
"was","alpha-beta_T_Cells","Immune-enriched"
"pqbp1","Plasma_Cells","Immune-enriched"
"gpkow","Erythroid_Cells","Immune-enriched"
"nudt10","Periportal_LSECs","EC-enriched"
"maged1","Hepatocyte_4","Hepatocyte-enriched"
"vsig4","Non-inflammatory_Macrophage","Immune-enriched"
"heph","Portal_endothelial_Cells","EC-enriched"
"eda2r","Cholangiocytes","Cholangiocyte-enriched"
"ophn1","Periportal_LSECs","EC-enriched"
"igbp1","Inflammatory_Macrophage","Immune-enriched"
"il2rg","gamma-delta_T_Cells_1","Immune-enriched"
"itgb1bp2","Central_venous_LSECs","EC-enriched"
"ogt","Plasma_Cells","Immune-enriched"
"hdac8","gamma-delta_T_Cells_1","Immune-enriched"
"itm2a","gamma-delta_T_Cells_2","Immune-enriched"
"pof1b","Cholangiocytes","Cholangiocyte-enriched"
"chm","Non-inflammatory_Macrophage","Immune-enriched"
"sytl4","Hepatocyte_2","Hepatocyte-enriched"
"timm8a","Hepatocyte_1","Hepatocyte-enriched"
"gla","Inflammatory_Macrophage","Immune-enriched"
"armcx2","Periportal_LSECs","EC-enriched"
"morf4l2","Hepatic_Stellate_Cells","Stellate cells-enriched"
"serpina7","Hepatocyte_3","Hepatocyte-enriched"
"atg4a","Erythroid_Cells","Immune-enriched"
"chrdl1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"amot","Periportal_LSECs","EC-enriched"
"il13ra2","Central_venous_LSECs","EC-enriched"
"il13ra1","Portal_endothelial_Cells","EC-enriched"
"lamp2","Hepatocyte_5","Hepatocyte-enriched"
"mcts1","Hepatocyte_6","Hepatocyte-enriched"
"c1galt1c1","Hepatocyte_3","Hepatocyte-enriched"
"xiap","Hepatocyte_2","Hepatocyte-enriched"
"sh2d1a","NK-like_Cells","Immune-enriched"
"xpnpep2","Hepatocyte_5","Hepatocyte-enriched"
"aifm1","Hepatocyte_6","Hepatocyte-enriched"
"rab33a","gamma-delta_T_Cells_1","Immune-enriched"
"enox2","Non-inflammatory_Macrophage","Immune-enriched"
"znf75d","Central_venous_LSECs","EC-enriched"
"cd40lg","alpha-beta_T_Cells","Immune-enriched"
"f9","Hepatocyte_4","Hepatocyte-enriched"
"slitrk2","Hepatic_Stellate_Cells","Stellate cells-enriched"
"fmr1","Hepatocyte_2","Hepatocyte-enriched"
"ids","alpha-beta_T_Cells","Immune-enriched"
"cd99l2","Hepatocyte_3","Hepatocyte-enriched"
"cetn2","Hepatocyte_3","Hepatocyte-enriched"
"bgn","Hepatic_Stellate_Cells","Stellate cells-enriched"
"l1cam","Periportal_LSECs","EC-enriched"
"naa10","Hepatocyte_6","Hepatocyte-enriched"
"irak1","Plasma_Cells","Immune-enriched"
"ikbkg","Hepatocyte_4","Hepatocyte-enriched"
"rab39b","Mature_B_Cells","Immune-enriched"
"arhgef10","Hepatic_Stellate_Cells","Stellate cells-enriched"
"myom2","gamma-delta_T_Cells_1","Immune-enriched"
"angpt2","Central_venous_LSECs","EC-enriched"
"eri1","Erythroid_Cells","Immune-enriched"
"msra","Hepatocyte_6","Hepatocyte-enriched"
"ctsb","Non-inflammatory_Macrophage","Immune-enriched"
"msr1","Non-inflammatory_Macrophage","Immune-enriched"
"fgf20","Non-inflammatory_Macrophage","Immune-enriched"
"vps37a","Erythroid_Cells","Immune-enriched"
"mtus1","Hepatocyte_4","Hepatocyte-enriched"
"fgl1","Hepatocyte_3","Hepatocyte-enriched"
"asah1","Non-inflammatory_Macrophage","Immune-enriched"
"lpl","Inflammatory_Macrophage","Immune-enriched"
"gfra2","Non-inflammatory_Macrophage","Immune-enriched"
"dok2","gamma-delta_T_Cells_1","Immune-enriched"
"reep4","Erythroid_Cells","Immune-enriched"
"slc39a14","Hepatocyte_3","Hepatocyte-enriched"
"ccar2","alpha-beta_T_Cells","Immune-enriched"
"tnfrsf10b","Hepatocyte_5","Hepatocyte-enriched"
"tnfrsf10c","Portal_endothelial_Cells","EC-enriched"
"tnfrsf10a","Hepatocyte_3","Hepatocyte-enriched"
"stc1","Periportal_LSECs","EC-enriched"
"bnip3l","Erythroid_Cells","Immune-enriched"
"pnma2","Non-inflammatory_Macrophage","Immune-enriched"
"ephx2","Hepatocyte_1","Hepatocyte-enriched"
"clu","Hepatocyte_6","Hepatocyte-enriched"
"pbk","Erythroid_Cells","Immune-enriched"
"dctn6","Hepatocyte_6","Hepatocyte-enriched"
"rbpms","Hepatic_Stellate_Cells","Stellate cells-enriched"
"gsr","Hepatocyte_4","Hepatocyte-enriched"
"eif4ebp1","Hepatocyte_6","Hepatocyte-enriched"
"lsm1","Hepatocyte_6","Hepatocyte-enriched"
"bag4","Hepatocyte_6","Hepatocyte-enriched"
"ddhd2","Hepatocyte_6","Hepatocyte-enriched"
"adam9","Non-inflammatory_Macrophage","Immune-enriched"
"ido1","Inflammatory_Macrophage","Immune-enriched"
"sfrp1","Periportal_LSECs","EC-enriched"
"plat","Portal_endothelial_Cells","EC-enriched"
"dkk4","Hepatocyte_6","Hepatocyte-enriched"
"fnta","NK-like_Cells","Immune-enriched"
"lyn","Non-inflammatory_Macrophage","Immune-enriched"
"ca8","Erythroid_Cells","Immune-enriched"
"ggh","Hepatocyte_5","Hepatocyte-enriched"
"ythdf3","Hepatocyte_4","Hepatocyte-enriched"
"lactb2","Hepatocyte_6","Hepatocyte-enriched"
"terf1","gamma-delta_T_Cells_1","Immune-enriched"
"ly96","Non-inflammatory_Macrophage","Immune-enriched"
"il7","Hepatic_Stellate_Cells","Stellate cells-enriched"
"pag1","alpha-beta_T_Cells","Immune-enriched"
"fabp5","Plasma_Cells","Immune-enriched"
"fabp4","Inflammatory_Macrophage","Immune-enriched"
"impa1","Hepatocyte_4","Hepatocyte-enriched"
"ca13","Central_venous_LSECs","EC-enriched"
"ca1","Erythroid_Cells","Immune-enriched"
"ca3","Erythroid_Cells","Immune-enriched"
"ca2","Erythroid_Cells","Immune-enriched"
"nbn","Hepatocyte_2","Hepatocyte-enriched"
"decr1","Hepatocyte_6","Hepatocyte-enriched"
