"protein_name","CellType","enriched"
"il1rl1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"il18r1","alpha-beta_T_Cells","Immune-enriched"
"il18rap","gamma-delta_T_Cells_1","Immune-enriched"
"nck2","Mature_B_Cells","Immune-enriched"
"uxs1","alpha-beta_T_Cells","Immune-enriched"
"ranbp2","Hepatocyte_4","Hepatocyte-enriched"
"edar","Hepatocyte_4","Hepatocyte-enriched"
"bcl2l11","Plasma_Cells","Immune-enriched"
"mertk","Non-inflammatory_Macrophage","Immune-enriched"
"il1b","Inflammatory_Macrophage","Immune-enriched"
"il1rn","Hepatocyte_3","Hepatocyte-enriched"
"dpp10","Central_venous_LSECs","EC-enriched"
"marco","Non-inflammatory_Macrophage","Immune-enriched"
"dbi","Hepatocyte_6","Hepatocyte-enriched"
"epb41l5","Hepatocyte_4","Hepatocyte-enriched"
"ralb","Central_venous_LSECs","EC-enriched"
"inhbb","Hepatocyte_4","Hepatocyte-enriched"
"clasp1","NK-like_Cells","Immune-enriched"
"proc","Hepatocyte_4","Hepatocyte-enriched"
"hs6st1","Hepatocyte_3","Hepatocyte-enriched"
"lypd1","Cholangiocytes","Cholangiocyte-enriched"
"rab3gap1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"hnmt","Non-inflammatory_Macrophage","Immune-enriched"
"kynu","Hepatocyte_6","Hepatocyte-enriched"
"nmi","Erythroid_Cells","Immune-enriched"
"neb","Cholangiocytes","Cholangiocyte-enriched"
"galnt5","Erythroid_Cells","Immune-enriched"
"cd302","Hepatocyte_5","Hepatocyte-enriched"
"ly75","Plasma_Cells","Immune-enriched"
"itgb6","Hepatocyte_6","Hepatocyte-enriched"
"tank","Erythroid_Cells","Immune-enriched"
"dpp4","Hepatocyte_2","Hepatocyte-enriched"
"fap","Hepatic_Stellate_Cells","Stellate cells-enriched"
"scn3a","Plasma_Cells","Immune-enriched"
"galnt3","NK-like_Cells","Immune-enriched"
"lrp2","Hepatocyte_5","Hepatocyte-enriched"
"klhl41","Hepatocyte_5","Hepatocyte-enriched"
"ssb","Erythroid_Cells","Immune-enriched"
"gad1","Non-inflammatory_Macrophage","Immune-enriched"
"gorasp2","Plasma_Cells","Immune-enriched"
"metap1d","NK-like_Cells","Immune-enriched"
"itga6","Hepatocyte_4","Hepatocyte-enriched"
"atf2","Erythroid_Cells","Immune-enriched"
"prkra","Hepatic_Stellate_Cells","Stellate cells-enriched"
"fkbp7","Hepatic_Stellate_Cells","Stellate cells-enriched"
"ttn","Cholangiocytes","Cholangiocyte-enriched"
"sestd1","Inflammatory_Macrophage","Immune-enriched"
"frzb","Central_venous_LSECs","EC-enriched"
"itgav","Hepatic_Stellate_Cells","Stellate cells-enriched"
"fam171b","Portal_endothelial_Cells","EC-enriched"
"tfpi","Central_venous_LSECs","EC-enriched"
"col3a1","Hepatic_Stellate_Cells","Stellate cells-enriched"
